,pdf_name,date1,time1,date2,time2,mr_address,en_address,Latitude,Longitude,Google Maps Address
12,13.pdf,11/07/2025,23:55,12/07/2025,19:30," रफि अहमद किडवाई रोडवर,, आयसीटी कलेजच्या पाठीमागील, माटुंगा, पुर्व मुंबई,   ","On Rafi Ahmed Kidwai Road,, Behind ICT College, Matunga, East Mumbai,",19.0595596,72.8295287,"Bandra West, Mumbai, Maharashtra, India"
13,14.pdf,22/01/2025,17:45,22/01/2025,17:45," कोंबडी गल्ली,, वांद्रे पश्‍चिम मुंबई 50, ","KOMBDI GALLI,, BANDRA WEST MUMBAI 50,",19.0311866,72.85453129999999,"Pb No 16641, No 32, Palai Residency, Bhaudaji Rd, Matunga East, Mumbai, Maharashtra 400019, India"
14,15.pdf,13/07/2025,21:50,13/07/2025,21:55," स्टेट बँक ऑफ इंडिया , भाऊ दाजी रोड,रस्त्यावर , मांटुगा पुर्व मुंबई,-400019   ","STATE BANK OF INDIA, Bhau Daji Road, Road, Mantuga East Mumbai-400019",19.0268747,72.8553352,"Matunga East, Mumbai, Maharashtra, India"
15,16.pdf,14/07/2025,16:00,14/07/2025,16:10," भांडारकर रोड,, साईनाथ डोसावाला दुकानाजवळ, महेश्वरी सर्कल, माटुंगा, मुंबई, ","Bhandarkar Road, Near Sainath Dosawala Shop, Maheshwari Circle, Matunga, Mumbai,",19.0268747,72.8553352,"Matunga East, Mumbai, Maharashtra, India"
16,17.pdf,01/07/2025,00:00,01/07/2025,23:59," माटुंगा पुर्व मुंबई ,   ","Matunga East Mumbai,",19.0353849,72.8423036,"Mahim, Mumbai, Maharashtra, India"
17,18.pdf,15/04/2025,17:55,15/04/2025,17:55," सेनापती बापट HA रोडचे जवळ, एसबीएम 16 चे जवळ , फूटपाथवर, दक्षिण वाहिनी,,सेनापती बापट रोड माहिम प मुंबई   ","Near Senapati Bapat HA Road, Near SBM 16, On Footpath, South Canal, Senapati Bapat Road Mahim P Mumbai",18.9581934,72.8320729,"Mumbai, Maharashtra, India"
18,19.pdf,02/06/2025,10:30,02/06/2025,12:00," पीडीमेलो रोड मधील डिव्हायडर, मुंबई 03,   ","Divider in PDmelo Road, Mumbai 03,",19.0274335,72.856399,"Maheshwari Udyan, Mumbai, Matunga East, Mumbai, Maharashtra 400019, India"
19,20.pdf,20/07/2025,22:20,20/07/2025,22:30," दक्षिणवाहिनी, महेश्वरी सर्कल,, माटुंगा, मुंबई,   ","Dakshinavahini, Maheshwari Circle,, Matunga, Mumbai,",16.2047877,77.3552519,"Raichur, Karnataka, India"
20,21.pdf,02/06/2025,17:20,02/06/2025,18:00," रायचुर Rec, वाडीबंदर,, मनोहर बार च्या मागील बाजु,, डोंगरी, मुं 9, ","Raichur Rec, Wadibandar,, Behind Manohar Bar,, Dongri, Mun 9,",19.0173058,72.82602539999999,"Eknath Buwa Hatiskar Marg & P Balu Marg, RBI Colony, Prabhadevi, Mumbai, Maharashtra 400025, India"
21,22.pdf,12/01/2025,23:15,12/01/2025,23:30," पी बाळु हातीस्कर मार्ग,, प्रभादेवी , ,मुंबई   ","P Balu Hatiskar Marg,, Prabhadevi, ,Mumbai",19.0811194,72.8825055,"Shop No, 6, Father Peter Parera Road, opp. Dwarka Puri Shopping Centre, Jai Ambika Nagar, Kurla West, Kurla, Mumbai, Maharashtra 400070, India"
22,23.pdf,19/07/2025,14:00,22/07/2025,10:00," शाँप नं6 , चे समोर ,लखमशी ay रोड, मोरेश्वर बिल्डींग, माटुंगा पूर्व मुंबई 19,   ","Opposite Shop No. 6, Lakhamshi Road, Moreshwar Building, Matunga East Mumbai 19,",19.0298067,72.856292,"Shishuvan School, 428/435, Shradhanand Rd, Brhmanwada, Matunga East, Mumbai, Maharashtra 400019, India"
23,24.pdf,20/07/2025,20:40,20/07/2025,20:45," श्रध्दानंद रोड,, शिशूवन शाळेच्या पाठीमागीलगल्ली, माटुंगा पुर्व ,मुंबई 19 ","Shradhanand Road, Behind Shishuvan School, Matunga East, Mumbai 19",19.0559336,72.8357472,"Hill Rd, W, Bandra West, Mumbai, Maharashtra 400050, India"
24,25.pdf,30/09/2024,00:00,07/01/2025,00:00," वांद्रे पोलिस ठाणे परिसर, वांद्रे प मुं,   ","Bandra Police Station Premises, Bandra 5th,",19.0268747,72.8553352,"Matunga East, Mumbai, Maharashtra, India"
25,26.pdf,24/07/2025,11:00,25/07/2025,14:00," माटुंगा फुल मार्केट , बालाजी अगरबत्ती , माटुंगा पुर्व ,मुंबई 19   ","Matunga Full Market, Balaji Agarbatti, Matunga East, Mumbai 19",19.0224032,72.8584374,"Plot No. 109, 110, Opp, Indulal Bhuva Rd, near Don Bosco School, Matunga East, Mumbai, Maharashtra 400031, India"
26,27.pdf,15/07/2025,09:00,25/07/2025,00:00," आयएसएल रोड नं 7 ए, जोहान सिगनेचर बिल्डिंग , शिवडी वडाळा रोड वडाळा मुंबई,   ","ISL Road No 7A, Johan Signature Building, Shivdi Wadala Road Wadala Mumbai,",19.0268747,72.8553352,"Matunga East, Mumbai, Maharashtra, India"
27,28.pdf,26/07/2025,10:00,26/07/2025,10:20," चार रोड माटुंगा, कोलॉजीम एच बी जिम,, जीएसबी गणपती च्या ,ग्राउंडच्य बाजुला मुंबई ","CHAR ROAD MATUNGA, COLOGYUM H B GYM, NEXT TO GROUND OF GSB GANAPATHY, MUMBAI",19.0807996,72.90434909999999,"17, Lakshminarayan Ln, Rajawadi Colony, Ghatkopar East, Mumbai, Maharashtra 400077, India"
28,29.pdf,28/07/2025,08:12,28/07/2025,08:17," 17/16, लक्ष्मी नारायण लेन,, लोहाना निवास,कबुतर खान्याजवळ , माटुंगा,, मुंबई 19   ","17/16, Lakshmi Narayan Lane,, Lohana Niwas, Near Kabutar Khanya, Matunga,, Mumbai 19",19.0184221,72.8494106,"Della Tower, Jame Jamshed Rd, Central Railway Colony, Mahavir Nagar, Parsee Colony, Dadar, Mumbai, Maharashtra 400014, India"
29,30.pdf,01/06/2025,11:00,29/07/2025,00:00," STA जमशेद रोड , काँपोरिट ऑफिस - डेला टाँवर,, पारशी काँलनी दादर पूर्व ,मुंबई,400014   ","STA Jamshed Road, Corporate Office - Della Tower,, Parshi Kalani Dadar East, Mumbai, 400014",19.0257398,72.8520271,"BA Khimji Rd, Matunga East, Mumbai, Maharashtra 400019, India"
30,31.pdf,31/07/2025,13:30,31/07/2025,13:40," डाँ बी ए रोड , उत्तर वाहीणी,, माटुंगा पुर्व ,मुंबई ","DA B A ROAD, NORTH VAHNI,, MATUNGA EAST, MUMBAI",19.0187967,72.8446493,"2R9V+FVP, Lokmanya Tilak Colony, Dadar, Mumbai, Maharashtra 400014, India"
31,32.pdf,28/07/2025,07:00,28/07/2025,07:30," 13-14 प्लटफार्मच्या समोर , वाहतूक पोलीस चौकी समोर, दादर रेल्वे स्थानकपूर्वमाटुंगा,मुंबई19   ","Opposite Platform 13-14, Opposite Traffic Police Post, Dadar Railway Station East Matunga, Mumbai 19",18.9583726,72.8373669,"Sardar Vallabhbhai Patel Rd, Dongri, Umerkhadi, Mumbai, Maharashtra, India"
32,33.pdf,10/06/2025,18:05,10/06/2025,18:10," एसव्हीपी रोड, चार नळ, बीएमएसी रूग्णालय, डोंगरी, मुंबई,  ","SVP Road, Char Nala, BMAC Hospital, Dongri, Mumbai,",19.0166847,72.8403763,"ground floor, Senapati Bapat Marg, beside Kohinoor Technical institute, opposite flowers and petals shop, Dadar West, Dadar, Mumbai, Maharashtra 400028, India"
33,34.pdf,26/12/2024,09:00,26/12/2024,10:00," सेनापती बापट मार्ग, मनिश मार्केट, दादर पश्‍चिम,मुंबई 400028 ,   ","Senapati Bapat Marg, Manish Market, Dadar West, Mumbai 400028,",19.0268747,72.8553352,"Matunga East, Mumbai, Maharashtra, India"
34,35.pdf,02/08/2025,15:00,02/08/2025,15:30," डाँन SEAT शाळेजवळ, माटुंगा पुर्व,मुंबई 19   ","Near Don SEAT School, Matunga East, Mumbai 19",19.0514817,72.8223577,"Pereira Rd, Mount Mary, Bandra West, Mumbai, Maharashtra 400050, India"
35,36.pdf,22/01/2025,23:00,23/01/2025,01:00," परेरा रोड , बांद्रा पश्‍चिम, मुंबई 50, ","Perera Road, Bandra West, Mumbai 50,",19.0274335,72.856399,"Maheshwari Udyan, Mumbai, Matunga East, Mumbai, Maharashtra 400019, India"
36,37.pdf,02/08/2025,22:20,02/08/2025,22:40," ST बाबासाहेब आंबेडकर रोड,, महेश्वरी सर्कल,दक्षिण वाहिनी,, माटुंगा पुर्व मुंबई 19 ,   ","ST Babasaheb Ambedkar Road,, Maheshwari Circle, South Channel,, Matunga East Mumbai 19 ,",19.0274335,72.856399,"Maheshwari Udyan, Mumbai, Matunga East, Mumbai, Maharashtra 400019, India"
37,38.pdf,04/08/2025,22:50,04/08/2025,22:55," डाँ बाबासाहेब आंबेडकर रोड , महेश्वरी सर्कल दक्षिण वाहीनी, माटुंगा पुर्व मुंबई 19 ,  ","Dr Babasaheb Ambedkar Road, Maheshwari Circle South Channel, Matunga East Mumbai 19,",19.0324705,72.8558824,"2VM4+3C3 South Indian Education Society High School, 3, KA Subramaniam Rd, Sundar Kamla Nagar, Matunga Central Railway Workshop, Brhmanwada, Matunga East, Mumbai, Maharashtra 400019, India"
38,40.pdf,05/08/2025,13:45,05/08/2025,14:00," सुब्रमण्यम रोड, एस आय ई एस स्कुल,, माटुंगा पुर्व मुंबई ,   ","Subramaniam Road, SIES School,, Matunga East Mumbai,",19.0212163,72.856531,"Nathalal Parekh Marg, Mumbai, Maharashtra 400031, India"
39,41.pdf,04/08/2025,13:10,04/08/2025,13:30," नाथालाल पारेख मार्ग, ए बी काँफी शाँप , वडाळा मुंबई ,-400031   ","Nathalal Parekh Marg, AB Coffee Shop, Wadala Mumbai,-400031",18.9629314,72.8471169,"Wadi Bandar, Mazgaon, Mumbai, Maharashtra, India"
40,42.pdf,12/06/2025,16:30,12/06/2025,17:00," गार्डनच्या बाजुला, वाडीबंदर, तुबाखु गल्ली, पंचतारा बार समोर, डोंगरी, मुंबई,  ","Beside Garden, Wadibandar, Tubakhu Galli, Opposite Panchtara Bar, Dongri, Mumbai,",19.0162949,72.842882,"Office No 130, 1st Floor, Hind Rajasthan Centre, Plot No 95, Dada Saheb Phalke Marg, Dadar East, Dadar, Mumbai, Maharashtra 400014, India"
41,43.pdf,01/01/2022,00:00,30/06/2024,00:00," 146/03, रोड नं 06, , हिंदु काँलनी,, दिवाण प्रकाश बिल्डींग,दादर पुर्व मुंबई 14   ","146/03, Road No. 06, Hindu Kanlani, Dewan Prakash Building, Dadar East Mumbai 14",19.0178029,72.8509365,"Jahangir Vimadalal Rd, Parsee Colony, Dadar, Mumbai, Maharashtra, India"
42,44.pdf,09/08/2025,22:00,09/08/2025,22:10," लेडी जहांगीर रोड, सेंट जोसेफ स्कूल च्या समोर, माटुंगा पुर्व मुंबई,   ","Lady Jahangir Road, Opposite St. Joseph's School, Matunga East Mumbai,",19.0169455,72.845955,"Dharam Putra, Dadar TT Cir, Dadar East, Dadar, Mumbai, Maharashtra 400014, India"
43,45.pdf,14/08/2025,19:00,14/08/2025,19:15," प्रितम हाँटेल शेजारी, ब्रॉड वे जंक्शन fa ए रोड , दादर पुर्व, मुंबई,  ","Beside Pritam Hotel, Broadway Junction FA Road, Dadar East, Mumbai,",19.0214243,72.833497,"Swatantryaveer Savarkar Rd, Mumbai, Maharashtra, India"
44,46.pdf,13/01/2025,11:10,13/01/2025,11:15," विर सावरकर मार्ग , , राजश्री प्रॉँडक्षन,, बस Ferg शेजारी,दादर पश्‍चिम » मुंबई ","Vir Savarkar Marg, , Rajshree Productions,, Near Bus Ferg, Dadar West » Mumbai",19.0513922,72.8222464,"Pereira Rd, Mount Mary, Bandra West, 400050, India"
45,47.pdf,23/01/2025,01:00,23/01/2025,01:05," परेरा रोड,, वांद्रे पश्‍चिम, मुं 50, ","PERERA ROAD,, BANDRA WEST, MU 50,",20.593684,78.96288,India
46,48.pdf,15/08/2025,17:25,15/08/2025,17:45," 251, जयशंकर याग्निक रोड,, भारत सेवा मंडळ, षण्मुखानंद हाँलजवळ,माट्‌ंगा,मुं,   ","251, Jaishankar Yagnik Road,, Bharat Seva Mandal, Near Shanmukananda Hall, Matanga, Mun.",19.0186534,72.8612355,"Wadala Bridge, Mumbai, Maharashtra, India"
47,49.pdf,18/08/2025,15:10,18/08/2025,15:20," वडाळा ब्रिज, पेन्सील बसस्टाँपच्या जवळ, माटुंगा पुर्व मुंबई, ","Wadala Bridge, Near Pencil Bus Stand, Matunga East Mumbai,",18.9612164,72.8436414,"P D'Mello Rd, Wadi Bandar, Mazgaon, Mumbai, Maharashtra, India"
48,50.pdf,14/06/2025,20:00,14/06/2025,20:15," पीडीमेलो रोड,, सिद्धीविनायक sea, नर्थ बण, वाडीबंदर, मुंबई 09 ,  1 ","Pdmello Road, Siddhivinayak sea, North Ban, Wadibandar, Mumbai 09 , 1",19.023992,72.8529026,"Jagatdev N.Varma Chowk or Kapole Niwas, Near Kings Circle Flyover, Dr Babasaheb Ambedkar Rd, Matunga East, Mumbai, Maharashtra 400019, India"
49,51.pdf,19/08/2025,22:00,20/08/2025,09:30," ST बि ए रोड , AS वेदांत कपोल निवास जवळ, माटुंगा पुर्व, मुंबई,   ","ST B A ROAD, NEAR AS VEDANT KAPOL NIWAS, MATUNGA EAST, MUMBAI,",19.0234516,72.8518424,"Unit No 1, Ground Floor, Devi Sadan, 209/B, Dr Babasaheb Ambedkar Rd, nearby Ruia Collage, Matunga East, Mumbai, Maharashtra 400019, India"
50,52.pdf,25/07/2025,11:00,08/08/2025,23:00," IDFC बँक शाखा , माटुंगा पुर्व मुंबई ,-400019   ","IDFC Bank Branch, Matunga East Mumbai,-400019",19.0134474,72.8448071,"Dr Babasaheb Ambedkar Rd, Dadar East, Mumbai, Maharashtra, India"
51,53.pdf,25/08/2025,22:30,25/08/2025,23:00," डाँ बीए रोड, उत्तरवाहीनी, खोदादाद सर्कन बस स्टाँप जवळ, दादर,पुर्व मुंबई,  ","Dr BA Road, Uttarwahini, Near Khodadad Sarkan Bus Stand, Dadar, East Mumbai,",19.0306869,72.85408749999999,"Tej Gaurav, Telang Rd, near Pioneer Hall, Brhmanwada, Matunga East, Mumbai, Maharashtra 400019, India"
52,54.pdf,21/08/2025,08:00,22/08/2025,08:00," 109 , तेलंग रोड, तेज गौरव हाऊस,, इमारतीच्या डाव्या बाजुस,माटुंगा मुंबई 19   ","109, Telang Road, Tej Gaurav House, Left Side of Building, Matunga Mumbai 19",19.0132771,72.84826509999999,"Prathamesh Tower-2, Prathamesh Tower 2, MMGS Marg, Dadar East, Dadar, Mumbai, Maharashtra 400014, India"
53,55.pdf,24/08/2025,10:00,24/08/2025,13:10," रूमनं 1101, प्रथमेश टाँवर,2 , वडाळा उदयोग भवन जवळ ,दादर पुर्व, मुंबई-400014   ","Room No. 1101, Prathamesh Tower, 2, Near Wadala Udyog Bhawan, Dadar East, Mumbai-400014",18.9640185,72.8418813,"J Rathod Marg, Mazgaon, Mumbai, Maharashtra 400010, India"
54,56.pdf,19/06/2025,14:15,19/06/2025,14:20," वाडीबंदर जंक्षन , डोंगरी , मुंबई,   ","Wadibandar Junction, Dongri, Mumbai,",18.9640185,72.8418813,"J Rathod Marg, Mazgaon, Mumbai, Maharashtra 400010, India"
55,57.pdf,19/06/2025,17:55,19/06/2025,18:00," वाडीबंदर ब्रिज येथील , षोचालयाच्या पाठीमागील जागेत , डोंगरी, मुंबई, ","At Wadibandar Bridge, Behind Shochalaya, Dongri, Mumbai,",19.0459703,72.82427980000001,"p, 03, Mount Mary, Bandra West, Mumbai, Maharashtra 400050, India"
56,58.pdf,23/01/2025,01:00,23/01/2025,02:00," परेरा रोड, बांद्रा पोलीस ठाणे , बिट क्र3 जवळ, , बांद्रा प मुंबई , ","Near Perera Road, Bandra Police Station, Bit No. 3, , Bandra P Mumbai,",19.0145298,72.8234748,"Veer Nariman Marg, Mumbai, Maharashtra 400030, India"
57,59.pdf,14/01/2025,20:56,13/01/2025,14:00," वीर नरीमन रोड, , नाना-नानी पार्क समोर, , वरळी कोळीवाडा, मुंबई  400030, ","Veer Nariman Road, , Opposite Nana-Nani Park, , Worli Koliwada, Mumbai 400030,",18.9565751,72.8403865,"Sholapur St, Dana Bandar, Mandvi, Mumbai, Maharashtra 400009, India"
58,60.pdf,19/06/2025,23:10,19/06/2025,23:50," सोलापुर स्ट्रीट, , डोंगरी, मंबई,   ","Solapur Street, , Dongri, Mumbai,",18.9565751,72.8403865,"Sholapur St, Dana Bandar, Mandvi, Mumbai, Maharashtra 400009, India"
59,61.pdf,19/06/2025,23:10,19/06/2025,23:50," सोलापुर स्ट्रीट, , डोंगरी, मंबई,   ","Solapur Street, , Dongri, Mumbai,",18.9529317,72.8415185,"P D'Mello Rd, Mumbai, Maharashtra, India"
60,62.pdf,20/06/2025,00:05,20/06/2025,00:15," पीडीमेलो रोड,घडयाळ गोदी,, सिध्दी विनायक हटेलच्या समोर,, वाडीबंदर, डोंगरी, मुंबई 09 ,   ","PDMello Road,Ghadyal Dock,,Opposite Siddhi Vinayak Hutel,,Wadibandar,Dongri,Mumbai 09,",18.9603804,72.8367035,"Jail Rd, Dongri, Umerkhadi, Mumbai, Maharashtra 400009, India"
61,63.pdf,20/06/2025,13:10,20/06/2025,14:00," जेलरोड, डोंगरी,, डोंगरी चिल्ड्रेन रूम समोरील फु, मुंबई 09, ","Jail Road, Dongri, Opposite Dongri Children's Room, Mumbai 09,",18.9594636,72.8362223,"Opps Habib Hospital, Chishtiya Height, Jail Rd S, Dongri, Umerkhadi, Mumbai, Maharashtra 400009, India"
62,64.pdf,05/06/2024,00:00,20/11/2024,00:00," 1303, जेल रोड,डोंगरी, चिष्तीया हाइट्स,, डोगरी मुबई , ","1303, Jail Road, Dongri, Chishtia Heights,, Dogri Mumbai,",18.9580513,72.8277012,"Sardar Vallabhbhai Patel Rd, Mumbai, Maharashtra, India"
63,65.pdf,20/06/2025,18:00,20/06/2025,18:15," एसटी बिल्डिंग जंक्षन, एस व्ही पी रोड, डोंगरी,, मुंबई   ","ST Building Junction, SVP Road, Dongri, Mumbai",19.2350735,72.8499786,"Dongri Rd, Govind Nagar, Borivali West, Mumbai, Maharashtra 400092, India"
64,66.pdf,23/06/2025,18:00,23/06/2025,18:10," बिआय टि चाळ क्र07 , समोरील फुटपाथ,डाँ मैशरी रोड, डोंगरी रोड मुंबई 09,   ","BIT CHAL NO 07, FRONT PAVEMENT, DA MAISHRI ROAD, DONGRI ROAD MUMBAI 09,",18.961044,72.8371543,"5, Navroji Hill Rd 1, Dongri, Umerkhadi, Mumbai, Maharashtra 400009, India"
65,67.pdf,23/06/2025,17:30,23/06/2025,18:00," नोरोजी हील रोड नं 05,, संभाजी मेदान गेटच्या बाजुला, फुटपाथवर, डोंगरी ,मुंबई 9 ","Noroji Hill Road No 05, Beside Sambhaji Medan Gate, Footpath, Dongri, Mumbai 9",18.9607599,72.8373529,"Navroji Hill Road 4, Dongri, Umerkhadi, 2, Navroji Hill Rd 2, Dongri, Umerkhadi, Mumbai, Maharashtra 400009, India"
66,68.pdf,22/06/2025,21:00,22/06/2025,21:00," सेंट जोसेफ हायस्कुल, जेल रोड, डोंगरी, मुंबई,   ","St. Joseph's High School, Jail Road, Dongri, Mumbai,",19.0484742,72.8273626,"50, KC Marg, HIG Colony, Mount Mary, Bandra West, Mumbai, Maharashtra 400050, India"
67,69.pdf,23/01/2025,00:30,23/01/2025,00:35," लाल मिट्टी, केसी मार्ग, , वांद्रे पश्‍चिम, मुंबई 50 ,   ","Lal Mitti, KC Marg, , Bandra West, Mumbai 50 ,",18.9621137,72.8377819,"XR6Q+R4V, Navroji Hill Rd 9, near Dalwi Garden, Noor Baug, Dongri, Umerkhadi, Mumbai, Maharashtra 400009, India"
68,70.pdf,23/06/2025,17:00,23/06/2025,17:25," सर जे जे रूग्णालयाच्या बाजूने , गणेष मंदिर, गरेज नं 04/ए, cole नं 10, ड मेश्री रोड,नुर बाग, डोंगरी, मुंबई 09   ","Beside Sir JJ Hospital, Ganesh Mandir, Garage No 04/A, Cole No 10, D Meshree Road, Noor Bagh, Dongri, Mumbai 09",19.0123537,72.8314798,"Sayani Rd, Mumbai, Maharashtra, India"
69,71.pdf,01/09/2015,00:00,30/06/2024,00:00," सयानी रोड, मोतीलाल ओसवाल cia, Wed, Aas  1 ","Sayani Road, Motilal Oswal cia, Wed, Aas 1",18.9573025,72.837042,"1st Flank Rd, Dongri, Umerkhadi, Mumbai, Maharashtra 400009, India"
70,72.pdf,23/06/2025,22:30,23/06/2025,23:25," पहिला फ्लँन्क रोड, डोंगरी, , मुंबई-09,   ","First Flank Road, Dongri, , Mumbai-09,",18.9581934,72.8320729,"Mumbai, Maharashtra, India"
71,73.pdf,24/06/2025,12:30,24/06/2025,12:45," शायदा मार्ग, न्यु पटेल Wet समोर डोंगर, मुंबई,   ","Shyda Marg, New Patel Wet Opposite Mountain, Mumbai,",18.9640185,72.8418813,"J Rathod Marg, Mazgaon, Mumbai, Maharashtra 400010, India"
72,74.pdf,24/06/2025,12:30,24/06/2025,12:50," वाडीबंदर ब्रिज वर,वाडीबंदर, , डोंगरी, मुंबई ,   ","Above Wadibandar Bridge, Wadibandar, , Dongri, Mumbai,",19.1760819,73.02288949999999,"Mumbra, Thane, Maharashtra, India"
73,75.pdf,25/06/2025,12:25,18/11/2018,00:00," 304/E, नौशीन टाँवर, तिसरा माळा, कादर Vora कोसा, मुंब्रा ठाणे ,   ","304/E, Nausheen Tower, 3rd Mala, Kadar Vora Kosa, Mumbra Thane,",18.9613473,72.83675199999999,"Baghdad Mansion, 83-Jail Road, Tambawala Building, Samantbhai Nanji Marg, Noor Baug, Dongri, Umerkhadi, Mumbai, Maharashtra 400009, India"
74,76.pdf,25/06/2025,12:50,25/06/2025,13:00," दीपक बार,जेलरोड,, डोंगरी,, मुंबई,   ","Deepak Bar, Jail Road, Dongri, Mumbai,",18.9629314,72.8471169,"Wadi Bandar, Mazgaon, Mumbai, Maharashtra, India"
75,77.pdf,25/06/2025,19:30,25/06/2025,20:00," वाडीबंदर उंपिग ग्रांउड,, मनोहर बार चे पाठीमागील बाजुस,, वाडीबंदर,मुंबई,   ","Wadibandar Umpig Ground,, Back side of Manohar Bar,, Wadibandar, Mumbai,",18.9584013,72.8382469,"Keshavji Naik Rd, Dongri, Umerkhadi, Mumbai, Maharashtra 400009, India"
76,78.pdf,27/06/2025,14:30,27/06/2025,14:40," केशवजी नाईक रोड, होम तुरंत ट्रान्सपोर्ट, विश्व, डोंगरी, मुंबई -09 ,   ","Keshavji Naik Road, Home Instant Transport, Vishwa, Dongri, Mumbai-09,",18.9564685,72.83458499999999,"Bhisti Mohalla, 43, Zakeria Masjid St, Abdul Sattar wahidna bldg, 3rd, floor, Room no:17, XR4M+GP7, Dongri, Mandvi, Mumbai, Maharashtra 400009, India"
77,79.pdf,27/06/2025,07:30,27/06/2025,08:00," 012,तळ मजला, 67 बंजारा बिल्डी, गरीब नवाज मस्जिद च्या समोर,, बिस्ती मोहल्ला, डोंगरी 09,   ","012, Ground Floor, 67 Banjara Building, Opposite Garib Nawaz Masjid, Bisti Mohalla, Dongri 09,",19.0543474,72.83623089999999,"50, Jain Mandir Rd, Santosh Nagar, Bandra West, Mumbai, Maharashtra 400050, India"
